,Country,Link,Generalization
197,Swaziland,http://berkeleyearth.lbl.gov/regions/swaziland,"Southern Africa, Africa, Southern Hemisphere, Global Land"
198,Sweden,http://berkeleyearth.lbl.gov/regions/sweden,"Europe, Northern Hemisphere, Global Land"
199,Switzerland,http://berkeleyearth.lbl.gov/regions/switzerland,"Europe, Northern Hemisphere, Global Land"
200,Syria,http://berkeleyearth.lbl.gov/regions/syria,"Asia, Northern Hemisphere, Global Land"
201,Taiwan,http://berkeleyearth.lbl.gov/regions/taiwan,"Eastern Asia, Asia, Northern Hemisphere, Global Land"
202,Tajikistan,http://berkeleyearth.lbl.gov/regions/tajikistan,"Central Asia, Asia, Northern Hemisphere, Global Land"
203,Tanzania,http://berkeleyearth.lbl.gov/regions/tanzania,"Eastern Africa, Africa, Southern Hemisphere, Global Land"
204,Thailand,http://berkeleyearth.lbl.gov/regions/thailand,"South-Eastern Asia, Asia, Northern Hemisphere, Global Land"
205,Timor-Leste,http://berkeleyearth.lbl.gov/regions/timor-leste,"South-Eastern Asia, Southern Hemisphere, Asia, Global Land"
206,Togo,http://berkeleyearth.lbl.gov/regions/togo,"Western Africa, Africa, Northern Hemisphere, Global Land"
207,Tonga,http://berkeleyearth.lbl.gov/regions/tonga,Global Land
208,Trinidad and Tobago,http://berkeleyearth.lbl.gov/regions/trinidad-and-tobago,"Caribbean, South America, Northern Hemisphere, Global Land"
209,Tunisia,http://berkeleyearth.lbl.gov/regions/tunisia,"Northern Africa, Africa, Northern Hemisphere, Global Land"
210,Turkey,http://berkeleyearth.lbl.gov/regions/turkey,"Asia, Northern Hemisphere, Global Land"
211,Turkmenistan,http://berkeleyearth.lbl.gov/regions/turkmenistan,"Central Asia, Asia, Northern Hemisphere, Global Land"
212,Turks and Caicas Islands,http://berkeleyearth.lbl.gov/regions/turks-and-caicas-islands,Global Land
213,Uganda,http://berkeleyearth.lbl.gov/regions/uganda,"Eastern Africa, Africa, Global Land"
214,Ukraine,http://berkeleyearth.lbl.gov/regions/ukraine,"Europe, Northern Hemisphere, Global Land"
215,United Arab Emirates,http://berkeleyearth.lbl.gov/regions/united-arab-emirates,"Asia, Northern Hemisphere, Global Land"
216,United Kingdom (Europe),http://berkeleyearth.lbl.gov/regions/united-kingdom-(europe),"Europe, Northern Hemisphere, Global Land"
217,United States,http://berkeleyearth.lbl.gov/regions/united-states,"North America, Northern Hemisphere, Global Land"
218,Uruguay,http://berkeleyearth.lbl.gov/regions/uruguay,"South America, Southern Hemisphere, Global Land"
219,Uzbekistan,http://berkeleyearth.lbl.gov/regions/uzbekistan,"Central Asia, Asia, Northern Hemisphere, Global Land"
220,Venezuela,http://berkeleyearth.lbl.gov/regions/venezuela,"South America, Northern Hemisphere, Global Land"
221,Vietnam,http://berkeleyearth.lbl.gov/regions/vietnam,"South-Eastern Asia, Asia, Northern Hemisphere, Global Land"
222,Virgin Islands,http://berkeleyearth.lbl.gov/regions/virgin-islands,Global Land
223,Western Sahara,http://berkeleyearth.lbl.gov/regions/western-sahara,"Northern Africa, Africa, Northern Hemisphere, Global Land"
224,Yemen,http://berkeleyearth.lbl.gov/regions/yemen,"Asia, Northern Hemisphere, Global Land"
225,Zambia,http://berkeleyearth.lbl.gov/regions/zambia,"Eastern Africa, Africa, Southern Hemisphere, Global Land"
226,Zimbabwe,http://berkeleyearth.lbl.gov/regions/zimbabwe,"Eastern Africa, Africa, Southern Hemisphere, Global Land"
