,Country,Link,Generalization
197,Somalia,http://berkeleyearth.lbl.gov/regions/somalia,"['Eastern Africa', 'Africa', 'Northern Hemisphere', 'Global Land']"
198,South Africa,http://berkeleyearth.lbl.gov/regions/south-africa,"['Southern Africa', 'Africa', 'Southern Hemisphere', 'Global Land']"
199,South Georgia and the South Sandwich Isla,http://berkeleyearth.lbl.gov/regions/south-georgia-and-the-south-sandwich-isla,"['Southern Hemisphere', 'Global Land']"
200,South Korea,http://berkeleyearth.lbl.gov/regions/south-korea,"['Eastern Asia', 'Asia', 'Northern Hemisphere', 'Global Land']"
201,Spain,http://berkeleyearth.lbl.gov/regions/spain,"['Europe', 'Northern Hemisphere', 'Global Land']"
202,Sri Lanka,http://berkeleyearth.lbl.gov/regions/sri-lanka,"['Southern Asia', 'Asia', 'Northern Hemisphere', 'Global Land']"
203,Sudan,http://berkeleyearth.lbl.gov/regions/sudan,"['Northern Africa', 'Africa', 'Northern Hemisphere', 'Global Land']"
204,Suriname,http://berkeleyearth.lbl.gov/regions/suriname,"['South America', 'Northern Hemisphere', 'Global Land']"
205,Svalbard and Jan Mayen,http://berkeleyearth.lbl.gov/regions/svalbard-and-jan-mayen,"['Europe', 'Northern Hemisphere', 'Global Land']"
206,Swaziland,http://berkeleyearth.lbl.gov/regions/swaziland,"['Southern Africa', 'Africa', 'Southern Hemisphere', 'Global Land']"
207,Sweden,http://berkeleyearth.lbl.gov/regions/sweden,"['Europe', 'Northern Hemisphere', 'Global Land']"
208,Switzerland,http://berkeleyearth.lbl.gov/regions/switzerland,"['Europe', 'Northern Hemisphere', 'Global Land']"
209,Syria,http://berkeleyearth.lbl.gov/regions/syria,"['Asia', 'Northern Hemisphere', 'Global Land']"
210,Taiwan,http://berkeleyearth.lbl.gov/regions/taiwan,"['Eastern Asia', 'Asia', 'Northern Hemisphere', 'Global Land']"
211,Tajikistan,http://berkeleyearth.lbl.gov/regions/tajikistan,"['Central Asia', 'Asia', 'Northern Hemisphere', 'Global Land']"
212,Tanzania,http://berkeleyearth.lbl.gov/regions/tanzania,"['Eastern Africa', 'Africa', 'Southern Hemisphere', 'Global Land']"
213,Thailand,http://berkeleyearth.lbl.gov/regions/thailand,"['South-Eastern Asia', 'Asia', 'Northern Hemisphere', 'Global Land']"
214,Timor-Leste,http://berkeleyearth.lbl.gov/regions/timor-leste,"['South-Eastern Asia', 'Southern Hemisphere', 'Asia', 'Global Land']"
215,Togo,http://berkeleyearth.lbl.gov/regions/togo,"['Western Africa', 'Africa', 'Northern Hemisphere', 'Global Land']"
216,Tonga,http://berkeleyearth.lbl.gov/regions/tonga,[]
217,Trinidad and Tobago,http://berkeleyearth.lbl.gov/regions/trinidad-and-tobago,"['Caribbean', 'South America', 'Northern Hemisphere', 'Global Land']"
218,Tunisia,http://berkeleyearth.lbl.gov/regions/tunisia,"['Northern Africa', 'Africa', 'Northern Hemisphere', 'Global Land']"
219,Turkey,http://berkeleyearth.lbl.gov/regions/turkey,"['Asia', 'Northern Hemisphere', 'Global Land']"
220,Turkmenistan,http://berkeleyearth.lbl.gov/regions/turkmenistan,"['Central Asia', 'Asia', 'Northern Hemisphere', 'Global Land']"
221,Turks and Caicas Islands,http://berkeleyearth.lbl.gov/regions/turks-and-caicas-islands,[]
222,Uganda,http://berkeleyearth.lbl.gov/regions/uganda,"['Eastern Africa', 'Africa', 'Global Land']"
223,Ukraine,http://berkeleyearth.lbl.gov/regions/ukraine,"['Europe', 'Northern Hemisphere', 'Global Land']"
224,United Arab Emirates,http://berkeleyearth.lbl.gov/regions/united-arab-emirates,"['Asia', 'Northern Hemisphere', 'Global Land']"
225,United Kingdom,http://berkeleyearth.lbl.gov/regions/united-kingdom,"['Europe', 'Northern Hemisphere', 'Global Land']"
226,United Kingdom (Europe),http://berkeleyearth.lbl.gov/regions/united-kingdom-(europe),"['Europe', 'Northern Hemisphere', 'Global Land']"
227,United States,http://berkeleyearth.lbl.gov/regions/united-states,"['North America', 'Northern Hemisphere', 'Global Land']"
228,Uruguay,http://berkeleyearth.lbl.gov/regions/uruguay,"['South America', 'Southern Hemisphere', 'Global Land']"
229,Uzbekistan,http://berkeleyearth.lbl.gov/regions/uzbekistan,"['Central Asia', 'Asia', 'Northern Hemisphere', 'Global Land']"
